no,ipk,progress,kehadiran,organisasi,magang,sks,kategori,tips
1,3.8,90,95,5,1,144,Lulus Cepat,"""-"""
2,3.5,75,85,10,0,140,Lulus Tepat Waktu,"""Pertimbangkan magang!"""
3,2.8,50,70,15,0,130,Butuh Perhatian,"""Tingkatkan skripsi, kurangi organisasi!"""
4,3.2,80,90,8,1,142,Lulus Tepat Waktu,"""-"""
5,2.5,30,65,20,0,125,Butuh Perhatian,"""Fokus skripsi, perbaiki IPK & kehadiran!"""
6,3.9,95,98,2,1,144,Lulus Cepat,"""-"""
7,3,60,75,12,1,135,Butuh Perhatian,"""Tingkatkan progress skripsi!"""
8,3.6,85,88,6,0,144,Lulus Tepat Waktu,"""Pertimbangkan magang!"""
9,2.9,40,60,18,0,128,Butuh Perhatian,"""Kurangi organisasi, selesaikan SKS!"""
10,3.7,92,94,4,1,144,Lulus Cepat,"""-"""
11,3.1,55,72,14,0,132,Butuh Perhatian,"""Perbaiki IPK & kehadiran!"""
12,3.4,78,82,7,1,138,Lulus Tepat Waktu,"""-"""
13,2.7,35,68,16,0,126,Butuh Perhatian,"""Fokus skripsi & SKS!"""
14,3.3,70,80,9,0,136,Lulus Tepat Waktu,"""Pertimbangkan magang!"""
15,2.4,25,50,20,0,120,Butuh Perhatian,"""Semua aspek perlu ditingkatkan!"""
16,3.5,88,90,5,1,144,Lulus Cepat,"""-"""
17,3,65,74,11,0,134,Butuh Perhatian,"""Tingkatkan skripsi & kehadiran!"""
18,3.2,72,84,6,1,140,Lulus Tepat Waktu,"""-"""
19,2.6,45,62,17,0,124,Butuh Perhatian,"""Kurangi organisasi, perbaiki IPK!"""
20,3.8,96,97,3,1,144,Lulus Cepat,"""-"""
